Unique_Investment_Identifier,Business_Case_ID,Agency_Name,Investment_Title,Project_ID,Project_Name,Project_Description,Start_Date,Completion_Date_(B1),Planned_Project_Completion_Date_(B2),Projected/Actual_Project_Completion_Date_(B2),Lifecycle_Cost,Schedule_Variance_(in_days),Schedule_Variance_percentage,Cost_Variance_($M),Cost_Variance_percentage,Planned_Cost_($M),Projected/Actual_Cost_($M),Updated_Date,Updated_Time
006-000401700,933,Department of Commerce(6),Census IT Infrastructure,1000,Automated Incident Management System,"Enable efficient recording, tracking, managing, and reporting of incidents involving Census Bureau employees and respondents, including safety, physical security events, IT security events, and breaches of protected data.",08/11/2010,30/03/2012,30/03/2012,13/09/2012,1.5,-167,-86.53,0.762147,62.96,1.210485,0.448338,20/08/2012,13:53:17
006-000401700,933,Department of Commerce(6),Census IT Infrastructure,1001,GEO Cloud Pilot,Participate in the Federal Geographic Data Committee (FGDC) GeoCloud Sandbox Initiative project to test and monitor geospatial data and service solutions hosted externally in the cloud.,02/08/2010,07/12/2011,07/12/2011,30/01/2012,0.208,-268,-174.03,0.010003,11.59,0.086333,0.07633,20/08/2012,13:53:17
006-000401700,933,Department of Commerce(6),Census IT Infrastructure,1002,Census Data Centers Network Upgrade,This technology refresh will allow upgrade critical pieces of the WAN and infrastructure that will help to ensure the reliability and availability of the Census WAN.,10/06/2011,30/03/2012,30/03/2012,04/09/2012,8.431158,-158,-87.29,4.151008,73.85,5.620852,1.469844,20/08/2012,13:53:17
006-000401700,933,Department of Commerce(6),Census IT Infrastructure,1003,ECM Sharepoint,Establish the ECM foundation and ECM Center of Excellence.,25/08/2011,31/03/2012,31/03/2012,28/09/2012,4.875,-181,-82.65,3.7095,76.09,4.875,1.1655,20/08/2012,13:53:17
006-000401700,933,Department of Commerce(6),Census IT Infrastructure,1004,ECM Sharepoint Document Management Pilot,"This pilot will Design, Develop, Integrate, Test, and Implement SharePoint document management and collaboration for CARRA.",01/12/2011,30/11/2012,30/11/2012,19/10/2012,1.5,42,11.51,0.663595,44.24,1.5,0.836405,20/08/2012,13:53:17
006-000401700,933,Department of Commerce(6),Census IT Infrastructure,1005,ECM Sharepoint Intranet Pilot,"This pilot will Design, Develop, Integrate, Test, and Implement a SharePoint Intranet site for ADCOM.",01/12/2011,30/11/2012,30/11/2012,17/09/2012,1,74,20.27,0.502543,50.25,1,0.497457,20/08/2012,13:53:17
006-000401700,933,Department of Commerce(6),Census IT Infrastructure,1006,Data Management Pilot Transition,"Transition the Data Management Pilot, developed in the Census Center for Applied Technology (CAT), to the Census network.",01/03/2011,07/11/2011,03/11/2011,12/07/2012,0.544,-302,-279.63,0.2025,54.14,0.374,0.1715,20/08/2012,13:53:17
006-000401700,933,Department of Commerce(6),Census IT Infrastructure,1007,GEO Hardware Refreshment,Facilitate and support the blade server infrastructure environment for Geography (GEO).,28/07/2010,29/05/2012,17/03/2012,31/03/2012,8.149,-167,-142.74,1.219451,29.93,4.0745,2.855049,20/08/2012,13:53:17
006-000552000,1080,Department of Commerce(6),BIS Commerce USXPORTS Exporter Support System (CUESS),1521,Commerce USXPORTS Exporter Support System (CUESS),"The project consists of the components needed to eliminate use of the mainframe & migrate to the DTSA USXPORTS system. These server-based components include SNAP-R, IMS-R, STELA Web, CCATS & Encryption Registration. It is also includes Rubric, Performance Reports, BECCI-2 (the secure infrastructure) & secure data transfer between BIS and inter-agencies (eg Customs/AES). The combination of CUESS applications & USXPORTS will support the ECR goal to transition to a single IT system.",01/10/2011,30/09/2013,,,10.7751,0,0,0.047099,0.44,10.7751,10.728001,30/07/2012,10:04:07
006-000051500,1081,Department of Commerce(6),Commerce Business Application Solutions (BAS),2083,Implementation Planning,Development of project documentation and approach for BAS project.,01/10/2012,31/03/2014,,,1.49178,0,0,0,0,1.49178,1.49178,28/09/2011,13:22:53
006-000051500,1081,Department of Commerce(6),Commerce Business Application Solutions (BAS),2084,Organizational Change Management,Development of approach and documentation for organizational change.,01/10/2012,31/03/2014,,,0.7755,0,0,0,0,0.7755,0.7755,28/09/2011,13:22:53
006-000051500,1081,Department of Commerce(6),Commerce Business Application Solutions (BAS),2085,Acquisition Planning and Support,Development of acquisition strategy and approach for procurement of software and hosting facility.,01/10/2012,31/03/2014,,,1.59772,0,0,0,0,1.59772,1.59772,28/09/2011,13:22:53
006-000656500,1082,Department of Commerce(6),ITA Export.Gov NextGen (ENG),2086,ITA Export.gov NextGen,"The Export.gov NextGen platform will be a collaborative portal for U.S. exporters, allowing delivery of a personalized, valuable experience to each user.  The platform will allow for the definition of user segments, which can then be leveraged to deliver relevant content, services, data, leads and events to users.",01/10/2012,30/09/2013,,,16,0,0,0,0,1,1,28/09/2011,13:50:48
006-999990530,1135,Department of Commerce(6),BusinessUSA,2980,BusinessUSA Website,Beta BusinessUSA website under USA.gov.,28/10/2011,29/09/2017,30/09/2012,30/09/2012,0.754,0,0,0,0,0.754,0.754,29/02/2012,12:53:16
006-999990530,1135,Department of Commerce(6),BusinessUSA,2981,Web Services,Deliver a personalized experience to U.S. businesses for access to services.,01/12/2011,29/09/2017,30/09/2012,30/09/2012,23.04,0,0,0,0,0.189,0.189,29/02/2012,12:53:16
007-000000049,13,Department of Defence(7),Armed Forces Health Longitudinal Technology Application,2570,ICD-10,,,,,,,0,0,0,0,5.468,5.468,01/06/2012,10:53:07
007-000000049,13,Department of Defence(7),Armed Forces Health Longitudinal Technology Application,2571,Integrate Wounded Ill and Injured (WII) Warrior initiatives and Enterprise Blood Management System (EBMS)  into AHLTA,,,,,,,0,0,0,0,9.764,9.764,01/06/2012,10:53:07
007-000000155,14,Department of Defence(7),GLOBAL COMBAT SUPPORT SYSTEM - MARINE CORPS,2575,Global Combat Support System - Marine Corps (GCSS-MC) Increment 1,,,,,,,112,9.82,9.2,3.3,279,269.8,29/02/2012,10:06:31
007-000000178,15,Department of Defence(7),DEFENSE ENTERPRISE ACCOUNTING AND MANAGEMENT SYSTEM,2576,Increment 1,,,,,,,0,0,0,0,321.47,321.47,29/02/2012,12:25:08
007-000000178,15,Department of Defence(7),DEFENSE ENTERPRISE ACCOUNTING AND MANAGEMENT SYSTEM,2577,Increment 2,,,,,,,0,0,0,0,65.1,65.1,26/10/2011,08:43:38
007-000000186,16,Department of Defence(7),NAVY ENTERPRISE RESOURCE PLANNING (ERP),2578,Navy ERP Implementation/Deployment,,,,,,,0,0,4.434,5.94,74.64,70.206,20/07/2012,06:14:23
007-000000057,17,Department of Defence(7),MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM,2572,Block Cycle (BC) 1 for MIDS-JTRS,,,,,,,0,0,5.988,23.03,26,20.012,11/01/2012,08:35:32
007-000000057,17,Department of Defence(7),MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM,2573,Block Upgrade 2 for MIDS-LVT,,,,,,,0,0,38.4,100,38.4,0,26/10/2011,08:43:36
007-000000057,17,Department of Defence(7),MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM,2574,MIDS JTRS Sustainment,,,,,,,0,0,11.357,78.56,14.457,3.1,23/02/2012,10:30:15
007-000000192,18,Department of Defence(7),Product Tailoring Warfighter Applications,2579,Joint Environmental Toolkit (JET),,,,,,,-38,-2.26,0,0,57.496,57.496,15/03/2012,12:31:58
007-000000314,19,Department of Defence(7),GENERAL FUND ENTERPRISE BUSINESS SYSTEM,2580,Project Manager General Fund Enterprise Business System (PM GFEBS),,,,,,,0,0,0.19,0.06,327.894,327.704,15/03/2012,12:31:58
007-000000342,20,Department of Defence(7),"Joint Tactical Radio System (JTRS) - HANDHELD, MANPACK, AND SMALL FORM FIT RADIOS (HMS)",2581,System Development and Demonstration - HMS post-Spiral 1 development to initial decision (Milestone C).,,,,,,,0,0,1027.653,100,1027.653,0,26/10/2011,08:43:41
007-000000342,20,Department of Defence(7),"Joint Tactical Radio System (JTRS) - HANDHELD, MANPACK, AND SMALL FORM FIT RADIOS (HMS)",2582,Low Rate Initial Production (LRIP) - LRIP will begin in FY11 and continue through FY14.,,,,,,,0,0,503.471,100,503.471,0,26/10/2011,08:43:41
007-000000342,20,Department of Defence(7),"Joint Tactical Radio System (JTRS) - HANDHELD, MANPACK, AND SMALL FORM FIT RADIOS (HMS)",2583,Operations and Support (O&S) during the production phase of the program.,,,,,,,0,0,74.784,100,74.784,0,26/10/2011,08:43:41
007-000000483,22,Department of Defence(7),EXPEDITIONARY COMBAT SUPPORT SYSTEM,2584,Increment 1: Pilot B,,,,,,,-321,-102.88,0,0,45.755,45.755,26/10/2011,08:56:47
007-000000483,22,Department of Defence(7),EXPEDITIONARY COMBAT SUPPORT SYSTEM,2585,Increment 1: Pilot C,,,,,,,-77,-7.79,0,0,428.268,428.268,26/10/2011,08:56:47
007-000000510,25,Department of Defence(7),EXECUTIVE INFORMATION/DECISION SUPPORT,2586,EI/DS enhancements,,,,,,,-93,-19.1,0,0,5.716,5.716,20/07/2012,06:14:24
007-000000594,26,Department of Defence(7),DEFENSE INFORMATION SYSTEM FOR SECURITY,2587,Case Adjudication Tracking System Single Code Base,,,,,,,0,0,0,0,6.55,6.55,26/10/2011,08:56:48
007-000000594,26,Department of Defence(7),DEFENSE INFORMATION SYSTEM FOR SECURITY,2588,Deploy Automated Continuing Evaluation System Releases,,,,,,,0,0,0,0,3.871,3.871,26/10/2011,08:56:48
007-000000594,26,Department of Defence(7),DEFENSE INFORMATION SYSTEM FOR SECURITY,2589,DISS Family of Systems (FoS),,,,,,,0,0,0,0,19,19,26/10/2011,08:56:48
007-000000595,27,Department of Defence(7),DEFENSE INFORMATION SYSTEM NETWORK,2590,DISN Technology Refreshment (LETR/0300),,,,,,,0,0,0.001,0,113.975,113.974,27/04/2012,09:58:24
007-000000595,27,Department of Defence(7),DEFENSE INFORMATION SYSTEM NETWORK,2591,DISN TECHNOLOGY REFRESHMENT (LETR/0400),,,,,,,-153,-16.79,0,0,7.4,7.4,30/01/2012,13:41:15
007-000000595,27,Department of Defence(7),DEFENSE INFORMATION SYSTEM NETWORK,2592,PRESIDENTIAL AND NATIONAL VOICE CONFERENCING (PNVC)(LENP/0400),,,,,,,0,0,0,0,6.255,6.255,26/10/2011,08:56:49
007-000000595,27,Department of Defence(7),DEFENSE INFORMATION SYSTEM NETWORK,2593,DEFENSE RED SWITCH NETWORK (DRSN) (LE4C/0400),,,,,,,0,0,0,0,3.798,3.798,26/10/2011,08:56:49
007-000000595,27,Department of Defence(7),DEFENSE INFORMATION SYSTEM NETWORK,2594,ENHANCED PENTAGON CAPABILITY / SURVIVABLE EMERGENCY CONFERENCING NETWORK (EPC/SECN) (LE4D/0300-0100),,,,,,,0,0,0,0,10.987,10.987,26/10/2011,08:56:49
007-000000595,27,Department of Defence(7),DEFENSE INFORMATION SYSTEM NETWORK,2595,JOINT WORLDWIDE INTELLIGENCE COMMUNICATIONS SYSTEM (JWICS) (LE2M/0300),,,,,,,0,0,0,0,18.1,18.1,26/10/2011,08:56:49
007-000000595,27,Department of Defence(7),DEFENSE INFORMATION SYSTEM NETWORK,2596,OPERATIONAL SUPPORT SYSTEMS (OSS) (LEMT/0400),,,,,,,0,0,0,0,2.653,2.653,26/10/2011,08:56:49
007-000000613,28,Department of Defence(7),Defense Medical Logistics Standard Support,2598,DMLSS Modules,,,,,,,0,0,0,0,24.879,24.879,30/01/2012,13:41:16
007-000000880,30,Department of Defence(7),GLOBAL BROADCAST SERVICE,2600,SBM DECC Transition,,,,,,,-98,-12.17,0,0,24.385,24.385,26/10/2011,08:56:59
007-000000880,30,Department of Defence(7),GLOBAL BROADCAST SERVICE,2601,Receive Suite Activities,,,,,,,-62,-9.72,0,0,14.289,14.289,26/10/2011,08:56:59
007-000000881,31,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM- JOINT,2602,GCCS-J Sustainment,,,,,,,0,0,0,0,70.296,70.296,26/10/2011,08:57:00
007-000000881,31,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM- JOINT,2603,GCCS-J Modernization,,,,,,,0,0,0,0,32.918,32.918,26/10/2011,08:57:00
007-000000881,31,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM- JOINT,2604,JPES Sustainment,,,,,,,-19,-4.36,3.168,23.07,13.733,10.565,20/07/2012,06:14:24
007-000000881,31,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM- JOINT,2605,JPES Development,,,,,,,-18,-3.39,18.616,56.43,32.987,14.371,20/07/2012,06:14:24
007-000000884,33,Department of Defence(7),GLOBAL DECISION SUPPORT SYSTEM,2607,Global Decision Support System (GDSS),,,,,,,0,0,4.529,19.14,23.661,19.132,15/03/2012,12:31:59
007-000000884,33,Department of Defence(7),GLOBAL DECISION SUPPORT SYSTEM,2608,Aviation Operational Risk Management (AvORM),,,,,,,0,0,-0.135,-4.87,2.771,2.906,30/01/2012,13:41:17
007-000000884,33,Department of Defence(7),GLOBAL DECISION SUPPORT SYSTEM,2609,Global Aircrew Scheduling (GAS),,,,,,,0,0,1.552,17.39,8.925,7.373,15/03/2012,12:31:59
007-000000884,33,Department of Defence(7),GLOBAL DECISION SUPPORT SYSTEM,2610,Global Aircrew Management (GAM),,,,,,,0,0,1.227,9.12,13.461,12.234,15/03/2012,12:31:59
007-000000884,33,Department of Defence(7),GLOBAL DECISION SUPPORT SYSTEM,2611,Dynamic Mission Replanning (DMR),,,,,,,0,0,1.762,10.04,17.544,15.782,15/03/2012,12:31:59
007-000001046,34,Department of Defence(7),Air and Space Operations Center - Weapon System,2623,AOC 10.1,,,,,,,0,0,-42.105,-5.58,754.895,797,26/10/2011,08:57:07
007-000001046,34,Department of Defence(7),Air and Space Operations Center - Weapon System,2624,AOC 10.2,,,,,,,0,0,0,0,485.476,485.476,26/10/2011,08:57:07
007-000000882,48,Department of Defence(7),GLOBAL COMBAT SUPPORT SYSTEM-JOINT,2606,GCSS-J Increment 7,,,,,,,0,0,0,0,39.71,39.71,30/01/2012,13:34:48
007-000001911,50,Department of Defence(7),Theater Battle Management Core System,2665,TBMCS UL Increment 2,,,,,,,-213,-104.93,-0.15,-6,2.5,2.65,26/10/2011,09:10:31
007-000001913,51,Department of Defence(7),THEATER MEDICAL INFORMATION PROGRAM-Joint,2666,Medical Situation Awareness Technology (MSAT)/Theater Medical Data Store (TMDS) development and integration,,,,,,,0,0,0,0,14.596,14.596,20/07/2012,06:14:25
007-000001913,51,Department of Defence(7),THEATER MEDICAL INFORMATION PROGRAM-Joint,2667,TMIP Composite Health Care System Cache (TC2),,,,,,,0,0,0,0,0.546,0.546,01/06/2012,10:50:34
007-000001913,51,Department of Defence(7),THEATER MEDICAL INFORMATION PROGRAM-Joint,2668,Theater Integration,,,,,,,0,0,0,0,17.695,17.695,20/07/2012,06:14:25
007-000001794,52,Department of Defence(7),STANDARD PROCUREMENT SYSTEM,2662,Service Release 14,,,,,,,-155,-51.16,0,0,1.415,1.415,26/10/2011,09:10:28
007-000001794,52,Department of Defence(7),STANDARD PROCUREMENT SYSTEM,2663,Product Sustainment 2012,,,,,,,0,0,0,0,2.595,2.595,26/10/2011,09:10:28
007-000002180,53,Department of Defence(7),INSTALLATION INFORMATION INFRASTRUCTURE MODERNIZATION PROGRAM,2671,Installation Information Infrastructure Modernization Program,,,,,,,0,0,0,0,480.261,480.261,29/02/2012,09:53:43
007-000002213,54,Department of Defence(7),"MANEUVER CONTROL SYSTEM, V6.4",2672,Collapse Development and Integration,,,,,,,0,0,-12.598,-344.86,0.37,12.968,04/01/2012,13:31:41
007-000002213,54,Department of Defence(7),"MANEUVER CONTROL SYSTEM, V6.4",2673,Joint Convergence Development,,,,,,,0,0,0,0,3.899,3.899,04/01/2012,13:31:41
007-000002213,54,Department of Defence(7),"MANEUVER CONTROL SYSTEM, V6.4",2674,BCCS Software Development and Technical Support,,,,,,,0,0,0,0,5.394,5.394,04/01/2012,13:31:41
007-000002213,54,Department of Defence(7),"MANEUVER CONTROL SYSTEM, V6.4",2675,CPOF Development,,,,,,,0,0,0,0,16.571,16.571,04/01/2012,13:31:42
007-000002213,54,Department of Defence(7),"MANEUVER CONTROL SYSTEM, V6.4",2676,Test and Evaluation,,,,,,,0,0,0,0,0.36,0.36,04/01/2012,13:31:42
007-000002213,54,Department of Defence(7),"MANEUVER CONTROL SYSTEM, V6.4",2677,Program Management Support,,,,,,,0,0,0,0,3.212,3.212,04/01/2012,13:31:42
007-000002213,54,Department of Defence(7),"MANEUVER CONTROL SYSTEM, V6.4",2678,Hardware Procurement,,,,,,,0,0,0,0,18.032,18.032,04/01/2012,13:31:42
007-000002213,54,Department of Defence(7),"MANEUVER CONTROL SYSTEM, V6.4",2679,Software Licenses and Support,,,,,,,0,0,0,0,24.563,24.563,04/01/2012,13:31:42
007-000002213,54,Department of Defence(7),"MANEUVER CONTROL SYSTEM, V6.4",2680,Field Support,,,,,,,0,0,-0.01,-0.04,28.34,28.35,04/01/2012,13:31:42
007-000002213,54,Department of Defence(7),"MANEUVER CONTROL SYSTEM, V6.4",2681,Program Management Support,,,,,,,0,0,0,0,7.086,7.086,04/01/2012,13:31:42
007-000002166,55,Department of Defence(7),Advanced Field Artillery Tactical Data System,2669,AFATDS Capability Set 13-14 (V6.8),,,,,,,-98,-14.87,0,0,15.6,15.6,20/01/2012,13:04:56
007-000002166,55,Department of Defence(7),Advanced Field Artillery Tactical Data System,2670,AFATDS Capability Set 15-16 (V6.8.X),,,,,,,0,0,0,0,19.7,19.7,20/01/2012,13:04:56
007-000003146,56,Department of Defence(7),Consolidated Afloat Networks Enterprise Service,2682,Engineering and Manufacturing Development,,,,,,,-63,-7.43,4.715,4.01,117.691,112.976,13/03/2012,12:32:16
007-000003146,56,Department of Defence(7),Consolidated Afloat Networks Enterprise Service,2683,Limited Deployment,,,,,,,0,0,0,0,196.602,196.602,29/02/2012,11:51:51
007-000003538,57,Department of Defence(7),Next Generation Enterprise Network,2684,Next Generation Enterprise Network (NGEN) - Transition from NMCI to NGEN,,,,,,,-264,-42.04,7.8,100,7.8,0,11/05/2012,07:17:09
007-000004035,58,Department of Defence(7),"DEFENSE ENROLLMENT ELIGIBILITY REPORTING SYSTEM, REAL-TIME AUTOMATED PERSONNEL IDENTIFICATION SYSTEM, AND COMMON ACCESS CARD",2687,"Cyber Identity, Monitoring, & Enforcement",,,,,,,0,0,0,0,0.916,0.916,02/04/2012,09:35:52
007-000004035,58,Department of Defence(7),"DEFENSE ENROLLMENT ELIGIBILITY REPORTING SYSTEM, REAL-TIME AUTOMATED PERSONNEL IDENTIFICATION SYSTEM, AND COMMON ACCESS CARD",2688,T3 Transition Requirements,,,,,,,0,0,0,0,15.56,15.56,07/03/2012,07:25:01
007-000004035,58,Department of Defence(7),"DEFENSE ENROLLMENT ELIGIBILITY REPORTING SYSTEM, REAL-TIME AUTOMATED PERSONNEL IDENTIFICATION SYSTEM, AND COMMON ACCESS CARD",3043,RAPIDS Lifecycle Refresh,,,,,,,0,0,0,0,3.99,3.99,07/03/2012,07:25:01
007-000005070,59,Department of Defence(7),GLOBAL COMBAT SUPPORT SYSTEM - ARMY,2692,Global Combat Support System- Army,,,,,,,0,0,3.058,1.19,257.98,254.922,15/03/2012,12:32:00
007-000006046,60,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM - MARITIME (GCCS-M),2695,Global Command and Control System - Maritime (GCCS-M) Procurement and Fielding,,,,,,,0,0,0,0,5.937,5.937,03/01/2012,11:07:26
007-000006046,60,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM - MARITIME (GCCS-M),2696,GCCS-M Increment 2 Group Level Software Development,,,,,,,0,0,0,0,17.58,17.58,16/01/2012,09:44:35
007-000003855,61,Department of Defence(7),Virtual Interactive Processing System,2685,Virtual Interactive Processing System (VIPS),,,,,,,-184,-18.33,22.785,34.59,65.87,43.085,23/02/2012,10:30:18
007-000006189,63,Department of Defence(7),JOINT PRECISION APPROACH AND LANDING SYSTEM,2698,Joint Precision Approach and Landing System (JPALS) Increment 1A,,,,,,,0,0,0,0,1274.29,1274.29,26/10/2011,09:10:45
007-000006190,64,Department of Defence(7),JTRS - GROUND MOBILE RADIOS,2699,JTRS- Ground Mobile Radios,,,,,,,0,0,0,0,1511.36,1511.36,07/03/2012,07:27:24
007-000006170,65,Department of Defence(7),Mission Planning Systems (Increment III),2697,Sustainment of Platform MPEs,,,,,,,0,0,0,0,2.8,2.8,26/10/2011,09:10:44
007-000006191,66,Department of Defence(7),AF NC3-MEECN Modernization,2801,Minuteman MEECN Program Upgrade (MMP-U),,,,,,,0,0,0,0,73.966,73.966,31/10/2011,07:48:18
007-000006191,66,Department of Defence(7),AF NC3-MEECN Modernization,2802,Global Aircrew Strategic Network Terminal (Global ASNT),,,,,,,0,0,0,0,16.391,16.391,31/10/2011,07:48:18
007-000006312,69,Department of Defence(7),DEFENSE TRAVEL SYSTEM,2701,Operations and Sustainment,,,,,,,0,0,0,0,51.42,51.42,29/02/2012,11:38:47
007-000006312,69,Department of Defence(7),DEFENSE TRAVEL SYSTEM,2702,DTS Production Environment Development,,,,,,,0,0,0,0,8.869,8.869,29/02/2012,11:24:02
007-000006298,71,Department of Defence(7),LOGISTICS MODERNIZATION PROGRAM,2700,Logistics Modernization Program - Increment 2 (Expanded Industrial Base (EIB)),,,,,,,0,0,0,0,32.67,32.67,26/07/2012,11:53:33
007-000006491,73,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2709,Software Development,,,,,,,0,0,0,0,0.37,0.37,16/01/2012,10:44:32
007-000006491,73,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2710,Software Development,,,,,,,0,0,0,0,1.416,1.416,16/01/2012,10:44:32
007-000006491,73,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2711,Software Development,,,,,,,0,0,0,0,16.525,16.525,16/01/2012,10:44:32
007-000006491,73,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2712,Test and Evaluation,,,,,,,0,0,0,0,0.5,0.5,16/01/2012,10:44:32
007-000006491,73,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2713,PMO Support,,,,,,,0,0,0,0,1.101,1.101,16/01/2012,10:44:32
007-000006491,73,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2714,Hardware,,,,,,,0,0,0,0,4.964,4.964,16/01/2012,10:44:32
007-000006491,73,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2715,Software Support,,,,,,,0,0,0,0,6.23,6.23,16/01/2012,10:44:32
007-000006491,73,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2716,Fielding Support,,,,,,,0,0,0,0,4.306,4.306,16/01/2012,10:44:32
007-000006491,73,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2717,Training Support,,,,,,,0,0,0,0,1.638,1.638,16/01/2012,10:44:32
007-000006491,73,Department of Defence(7),GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2718,PMO Support,,,,,,,0,0,0,0,1.682,1.682,16/01/2012,10:44:32
007-000006368,74,Department of Defence(7),NAVSTAR GLOBAL POSITIONING SYSTEM (GPS),2703,Sea Navigation Warfare (NAVWAR),,,,,,,0,0,0,0,180.1,180.1,26/10/2011,09:10:48
007-000006388,75,Department of Defence(7),Tactical Data Link System,2704,Common Link Integration Processing (CLIP),,,,,,,-152,-41.53,0,0,8.55,8.55,26/10/2011,09:10:50
007-000006388,75,Department of Defence(7),Tactical Data Link System,2705,Situation Awareness DataLink (SADL),,,,,,,0,0,0,0,4.5,4.5,26/10/2011,09:10:50
007-000006388,75,Department of Defence(7),Tactical Data Link System,2706,Pocket-J,,,,,,,0,0,0,0,16.29,16.29,26/10/2011,09:10:50
007-000006388,75,Department of Defence(7),Tactical Data Link System,2707,Link 16 Alaska (LAK),,,,,,,-62,-29.25,0,0,12.42,12.42,26/10/2011,09:10:50
007-000006524,77,Department of Defence(7),Joint Tactical Radio System (JTRS) - Airborne and Maritime/Fixed Station (AMF),2719,System Development Demonstration (SDD),,,,,,,0,0,229.515,33.62,682.685,453.17,30/01/2012,13:41:19
007-000006555,78,Department of Defence(7),DEPLOYABLE JOINT COMMAND AND CONTROL (DJC2),2720,Tech Insertion/Refresh Design,,,,,,,-670,-169.62,0.688,13.09,5.254,4.566,04/01/2012,13:31:43
007-000006555,78,Department of Defence(7),DEPLOYABLE JOINT COMMAND AND CONTROL (DJC2),2721,Tech Insertion/Refresh Design,,,,,,,0,0,-0.074,-0.93,7.977,8.051,20/07/2012,06:21:31
007-000006555,78,Department of Defence(7),DEPLOYABLE JOINT COMMAND AND CONTROL (DJC2),2722,Tech Insertion/Refresh Production,,,,,,,0,0,-0.464,-2.65,17.536,18,20/07/2012,06:21:31
007-000006555,78,Department of Defence(7),DEPLOYABLE JOINT COMMAND AND CONTROL (DJC2),2723,Operations and Maintenance,,,,,,,0,0,3.563,10.88,32.739,29.176,20/07/2012,06:21:31
007-000006965,80,Department of Defence(7),NET CENTRIC ENTERPRISE SERVICES,2727,Net Centric Enterprise Services pre-planned product improvements,,,,,,,0,0,0,0,1.2,1.2,26/10/2011,09:10:57
007-000006587,82,Department of Defence(7),Joint Tactical Radio System (JTRS) - NETWORK ENTERPRISE DOMAIN (NED),2724,Network Enterprise Domain (NED) Engineering and Manufacturing Development,,,,,,,0,0,0,0,563.12,563.12,05/04/2012,12:09:10
007-000006587,82,Department of Defence(7),Joint Tactical Radio System (JTRS) - NETWORK ENTERPRISE DOMAIN (NED),2725,Network Enterprise Domain (NED) Post Deployment Software Support / Post Production Software Support,,,,,,,0,0,1.179,1.44,81.949,80.77,08/05/2012,12:15:24
007-000006946,83,Department of Defence(7),COMMON AVIATION COMMAND AND CONTROL SYSTEM,2726,Common Aviation Command and Control System,,,,,,,0,0,-0.3,-0.71,42.2,42.5,15/03/2012,12:32:01
007-000001854,86,Department of Defence(7),Battle Control System Fixed,2664,Battle Control System-Fixed,,,,,,,-202,-10.75,0,0,89.3,89.3,23/02/2012,10:30:17
007-000000599,899,Department of Defence(7),Integrated Personnel and Pay System - Army,2597,Integrated Personnel and Pay System - Army (IPPS-A) Increment I,,,,,,,-30,-4.7,-32.661,-27.48,118.859,151.52,11/01/2012,08:35:33
007-000001005,900,Department of Defence(7),Biometrics Enabling Capability,2612,Biometrics Enabling Capability,,,,,,,-180,-29.51,-5.856,-30,19.52,25.376,23/02/2012,10:30:16
007-000001009,901,Department of Defence(7),Joint Personnel Identification System,2613,Joint Personnel Identification System,,,,,,,0,0,0,0,28.74,28.74,11/01/2012,08:35:33
007-000001202,902,Department of Defence(7),Warfighter Information Network - Tactical Increment 1,2649,Net Centric Waveform (NCW)/Colorless Core Modification Work Order (MWO) - FY12,,,,,,,0,0,0,0,34.848,34.848,30/01/2012,13:41:18
007-000001208,903,Department of Defence(7),Warfighter Information Network - Tactical Increment 2,2650,Full Rate Production Decision Review,,,,,,,-107,-83.59,0,0,22.111,22.111,07/03/2012,07:25:00
007-000001242,904,Department of Defence(7),Warfighter Information Network - Tactical Increment 3,2651,Transmission Subsystem (TSS) Critical Design Review (CDR),,,,,,,-138,-25.18,0,0,176.842,176.842,26/10/2011,09:10:23
007-000001555,905,Department of Defence(7),Joint Battle Command-Platform,2656,Joint Battle Command - Platform (JBC-P) Development,,,,,,,0,0,0.011,0.02,44.506,44.495,15/03/2012,12:31:59
007-000001017,906,Department of Defence(7),Information Transport System Increment 1,2614,Hickam AFB Infrastructure upgrade.,,,,,,,-275,-34.81,0,0,0.619,0.619,26/10/2011,08:57:05
